Designator,Mid X,Mid Y,Rotation,Layer
C1,49.494295,-49.81966,90.0,bottom
C10,68.826295,-59.70566,270.0,bottom
C11,44.244295,-58.27966,270.0,bottom
C12,43.244295,-52.58966,90.0,bottom
C2,55.744295,-61.06966,180.0,bottom
C3,65.994295,-57.06966,90.0,bottom
C4,50.994295,-49.31966,270.0,bottom
C5,50.994295,-58.31966,270.0,bottom
C6,63.244295,-59.56966,270.0,bottom
C7,62.494295,-45.81966,0.0,bottom
C8,69.014295,-45.31966,0.0,bottom
C9,72.114295,-59.68966,90.0,bottom
D10,61.5,-38.2475,270.0,top
D100,49.48,-50.2175,270.0,top
D101,51.48,-50.2325,270.0,top
D102,53.48,-50.2175,270.0,top
D103,55.48,-50.2325,270.0,top
D104,57.48,-50.2175,270.0,top
D105,59.49,-50.2475,270.0,top
D106,61.49,-50.2325,270.0,top
D107,63.49,-50.2475,270.0,top
D108,65.49,-50.2325,270.0,top
D109,67.49,-50.2475,270.0,top
D11,63.5,-38.2625,270.0,top
D110,69.49,-50.2325,270.0,top
D111,71.49,-50.2475,270.0,top
D112,73.49,-50.2325,90.0,top
D113,43.47,-52.2175,270.0,top
D114,45.48,-52.2025,270.0,top
D115,47.47,-52.2175,270.0,top
D116,49.48,-52.2025,270.0,top
D117,51.47,-52.2175,270.0,top
D118,53.48,-52.2025,270.0,top
D119,55.47,-52.2175,270.0,top
D120,57.48,-52.2025,270.0,top
D121,59.48,-52.2325,270.0,top
D122,61.49,-52.2175,270.0,top
D123,63.48,-52.2325,270.0,top
D124,65.49,-52.2175,270.0,top
D125,67.48,-52.2325,270.0,top
D126,69.49,-52.2175,270.0,top
D127,71.48,-52.2325,270.0,top
D128,73.49,-52.2175,270.0,top
D129,43.48,-54.2325,270.0,top
D130,45.48,-54.2175,270.0,top
D131,47.48,-54.2325,270.0,top
D132,49.48,-54.2175,270.0,top
D133,51.48,-54.2325,270.0,top
D134,53.48,-54.2175,270.0,top
D135,55.48,-54.2325,270.0,top
D136,57.48,-54.2175,270.0,top
D137,59.49,-54.2475,270.0,top
D138,61.49,-54.2325,270.0,top
D139,63.49,-54.2475,270.0,top
D140,65.49,-54.2325,270.0,top
D141,67.49,-54.2475,270.0,top
D142,69.49,-54.2325,270.0,top
D143,71.49,-54.2475,270.0,top
D144,73.49,-54.2325,90.0,top
D145,43.47,-56.2175,270.0,top
D146,45.48,-56.2025,270.0,top
D147,47.47,-56.2175,270.0,top
D148,49.48,-56.2025,270.0,top
D149,51.47,-56.2175,270.0,top
D150,53.48,-56.2025,270.0,top
D151,55.47,-56.2175,270.0,top
D152,57.48,-56.2025,270.0,top
D153,59.48,-56.2325,270.0,top
D154,61.49,-56.2175,270.0,top
D155,63.48,-56.2325,270.0,top
D156,65.49,-56.2175,270.0,top
D157,67.48,-56.2325,270.0,top
D158,69.49,-56.2175,270.0,top
D159,71.48,-56.2325,270.0,top
D160,73.49,-56.2175,270.0,top
D161,43.49,-58.2475,270.0,top
D162,45.49,-58.2325,270.0,top
D163,47.49,-58.2475,270.0,top
D164,49.49,-58.2325,270.0,top
D165,51.49,-58.2475,270.0,top
D166,53.49,-58.2325,270.0,top
D167,55.49,-58.2475,270.0,top
D168,57.49,-58.2325,270.0,top
D169,59.5,-58.2625,270.0,top
D170,61.5,-58.2475,270.0,top
D171,63.5,-58.2625,270.0,top
D172,65.5,-58.2475,270.0,top
D173,67.5,-58.2625,270.0,top
D174,69.5,-58.2475,270.0,top
D175,71.5,-58.2625,270.0,top
D176,73.5,-58.2475,90.0,top
D178,45.49,-60.2175,270.0,top
D179,47.48,-60.2325,270.0,top
D180,49.49,-60.2175,270.0,top
D181,51.48,-60.2325,270.0,top
D182,53.49,-60.2175,270.0,top
D183,55.48,-60.2325,270.0,top
D184,57.49,-60.2175,270.0,top
D185,59.49,-60.2475,270.0,top
D186,61.5,-60.2325,270.0,top
D187,63.49,-60.2475,270.0,top
D188,65.5,-60.2325,270.0,top
D189,67.49,-60.2475,270.0,top
D190,69.5,-60.2325,270.0,top
D191,71.49,-60.2475,270.0,top
D194,45.46,-62.1875,270.0,top
D195,47.46,-62.2025,270.0,top
D196,49.46,-62.1875,270.0,top
D197,51.46,-62.2025,270.0,top
D198,53.46,-62.1875,270.0,top
D199,55.46,-62.2025,270.0,top
D20,49.49,-40.2175,270.0,top
D200,57.46,-62.1875,270.0,top
D201,59.47,-62.2175,270.0,top
D202,61.47,-62.2025,270.0,top
D203,63.47,-62.2175,270.0,top
D204,65.47,-62.2025,270.0,top
D205,67.47,-62.2175,270.0,top
D206,69.47,-62.2025,270.0,top
D207,71.47,-62.2175,270.0,top
D21,51.48,-40.2325,270.0,top
D211,47.45,-64.1875,270.0,top
D212,49.46,-64.1725,270.0,top
D213,51.45,-64.1875,270.0,top
D214,53.46,-64.1725,270.0,top
D215,55.45,-64.1875,270.0,top
D216,57.46,-64.1725,270.0,top
D217,59.46,-64.2025,270.0,top
D218,61.47,-64.1875,270.0,top
D219,63.46,-64.2025,270.0,top
D22,53.49,-40.2175,270.0,top
D220,65.47,-64.1875,270.0,top
D221,67.46,-64.2025,270.0,top
D222,69.47,-64.1875,270.0,top
D228,49.47,-66.2025,270.0,top
D229,51.47,-66.2175,270.0,top
D23,55.48,-40.2325,270.0,top
D230,53.47,-66.2025,270.0,top
D231,55.47,-66.2175,270.0,top
D232,57.47,-66.2025,270.0,top
D233,59.48,-66.2325,270.0,top
D234,61.48,-66.2175,270.0,top
D235,63.48,-66.2325,270.0,top
D236,65.48,-66.2175,270.0,top
D237,67.48,-66.2325,270.0,top
D24,57.49,-40.2175,270.0,top
D246,53.495,-68.2175,270.0,top
D247,55.495,-68.2175,270.0,top
D248,57.495,-68.2175,270.0,top
D249,59.495,-68.2025,270.0,top
D25,59.49,-40.2475,270.0,top
D250,61.495,-68.2025,270.0,top
D251,63.495,-68.2025,270.0,top
D257,64.994295,-45.33466,90.0,bottom
D26,61.5,-40.2325,270.0,top
D27,63.49,-40.2475,270.0,top
D28,65.5,-40.2325,270.0,top
D29,67.49,-40.2475,270.0,top
D35,47.5,-42.2625,270.0,top
D36,49.5,-42.2475,270.0,top
D37,51.5,-42.2625,270.0,top
D38,53.5,-42.2475,270.0,top
D39,55.5,-42.2625,270.0,top
D40,57.5,-42.2475,270.0,top
D41,59.51,-42.2775,270.0,top
D42,61.51,-42.2625,270.0,top
D43,63.51,-42.2775,270.0,top
D44,65.51,-42.2625,270.0,top
D45,67.51,-42.2775,270.0,top
D46,69.51,-42.2625,270.0,top
